●●○●○,0,0,10,1月,名詞
●○●○●○,0,0,10,2月,名詞
●●●○●○,0,0,10,3月,名詞
●○○●○●○,0,0,10,4月,名詞
●○●●○●○,0,0,10,5月,名詞
●●○●○●○,0,0,10,6月,名詞
○○,0,0,50,満月,名詞
●●,0,0,50,新月,名詞
●●○●,0,0,5,時,名詞
●●●○○,0,0,500,希望,名詞
○○○,0,0,10,白,名詞
○●○,0,0,10,黄色,名詞
○○●,0,0,10,薄緑色,名詞
●●●,0,0,10,黒,名詞
●○●,0,0,10,紫色,名詞
●●○,0,0,10,青,名詞
○○○○○,0,0,10,無,名詞
○●●●,0,0,10,上,名詞
●○○○,0,0,10,下,名詞
●●●●,0,0,500,ここ,名詞
○●○○,0,0,500,人,名詞
○○○○○,1,1,20,正しい,形容詞
○○○●○,1,1,20,白い,形容詞
○●○●○,1,1,20,黄色い,形容詞
○○●●○,1,1,20,薄緑色の,形容詞
●●●●○,1,1,20,黒い,形容詞
●○●●○,1,1,20,紫色の,形容詞
●●○●○,1,1,20,青い,形容詞
●○○●,2,2,10,見た,動詞
●○●○,2,2,10,変わる,動詞
●○●○○,2,2,10,変える,動詞
○○●●,2,2,10,昇る,動詞
●●○○,2,2,10,降りる,動詞
●●○●,2,2,50,留まる,動詞
○●●,3,3,50,ならば,その他
○●,3,3,100,は,その他
●●●,3,3,200,そして,その他
○●○,3,3,1000,か,その他
●,3,3,2000,に,その他
